Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Becoming an AI-First Product Leader,"Artificial intelligence is changing the world, powering everything from advertising to education. Becoming a successful product leader is anchored to an AI-first mindset—and you can't lead what you don't understand. Join Tomer Cohen in this AI primer for product leaders. Learn the current use cases for AI and see how AI is impacting your role and popular products in the marketplace, including those at LinkedIn. Explore the three components of AI: the algorithms, the data, and the objective. Tomer also explains how to adopt AI product principles, shifting the mindset of your entire organization. The course wraps up with a discussion of the future of AI and its impact on product leaders like you.",Course,2021-05-15 04:24 UTC,N/A,false,N/A,
Excel VBA: Process Modeling (2016),"Excel power users: Learn how to use Excel and VBA to create and run simulations on business processes for customer flow, queuing, and manufacturing. Visual Basics for Applications exponentially extends Excel's power, allowing you to control process flow and logic and add custom classes and variables. In these exercise-centered tutorials, Curt Frye builds simulations of increasing complexity, which model the flow of customers through checkout stations. You'll learn how to calculate arrival and transaction times, add customers, and increase individual station capacity, and find out when you need to add more stations. At the end of the course, Curt shows how to convert output to an Excel table and analyze the results of your simulation.",Course,2018-06-27 22:01 UTC,N/A,false,N/A,
Learning to Write Marketing Copy,"Copy is the heart and soul of almost every marketing endeavor. Get a great foundation for all your campaigns with this course. Ian Lurie shows how to write copy that tells your story and sells your product or brand. Learn about the different types of copywriting, the benefits of drafting on paper (yes, paper!), observing general rules, writing headlines, selling the page, and rewriting existing copy to optimize it for different outlets and platforms. Ian shows how to manage a copyediting team, a brand voice, and an editorial calendar.",Course,2021-05-06 11:11 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2880066,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2880066,Course,2022-07-01 23:36 UTC,N/A,false,N/A,
Transforming Business with AI Agents: Autonomous Efficiency and Decision-Making,"Unlock the power of AI agents to revolutionize your business. In this course, best-selling author and thought leader Charlene Li delves into the ever-evolving landscape of AI, providing a clear, comprehensive introduction to autonomous, adaptive AI agents. You’ll learn how to define and identify AI agents and how they differ from other AI products. Charlene outlines AI agents’ potential to boost productivity and enhance decision-making, as well as how agents can automate complex workflows. Along the way, explore the critical challenges of trust, privacy, common ethical concerns, and key considerations for evaluating the use of AI agents in your organization.",Course,2025-07-09 12:44 UTC,N/A,false,N/A,
Reid Hoffman and Chris Yeh on Blitzscaling,"Blitzscaling is a growth strategy that prioritizes speed over efficiency in the face of uncertainty. Those bold enough to adopt it must break free from the confines of business school logic to take uncalculated risks that could just as easily lead to abject failure as rapid-fire growth. In this course, LinkedIn founder Reid Hoffman and entrepreneur Chris Yeh break down when and how entrepreneurs and other business leaders should leverage this tactic to get ahead. Reid and Chris—who literally wrote the book on this topic in 2018's <i>Blitzscaling</i>— explain how, despite the potential pitfalls, blitzscaling practices are often the key to scaling massive companies. They share examples of successful blitzscaling, explain how to blitzscale within a larger organization, and more.",Course,2021-06-06 04:30 UTC,N/A,false,N/A,
Building Resilience as a Leader (2019),"Research tells us that resilience is one of the key attributes of successful leaders. Resilience can help you face challenges, navigate obstacles, and thrive in your role. But it can also help you lead your team and your business to bigger and better results. In this course, psychologist and executive coach Gemma Leigh Roberts helps you develop a resilient mindset, a resilient team, and a resilient organization that can weather risk and change. The tips and strategies Gemma offers are approachable and actionable—designed for busy leaders who need an extra edge to survive and thrive in challenging times.",Course,2021-08-29 02:35 UTC,N/A,false,N/A,
"The Persuasion Code, Part 2: The Neuroscience of Selling Remotely","While virtual sales calls have steadily increased for many reasons—reduced travel costs, improving technology, and most recently health and safety considerations—the fact remains, people simply hate virtual meetings. Factors like fatigue and distrust of the presenter lead to declines in attention and engagement, which reduce your chances of closing a deal. In this course, neuromarketing expert Patrick Renvoise shows you how to tackle the challenges around selling virtually by understanding the brain of your audience. Patrick covers the reasons people hate video calls, why they generate so much fatigue, and why it’s so hard to establish trust over a virtual meeting. He also guides you through what to say and do on video sales calls, and shows how a little knowledge of the primal brain can help you communicate more persuasively in the virtual world.",Course,2021-09-03 04:47 UTC,N/A,false,N/A,
Developing Executive Presence,"Learn to project self-confidence, clarity, and credibility even under conditions of stress, pressure, and uncertainty. In this course, John Ullmen, PhD, a professor from the UCLA Anderson School of Management, shares key research insights and step-by-step methods he uses to coach leaders around the world to develop executive presence. He outlines the four key factors that drive executive presence, and the specific actions that make them work for you.  He also explains the difference between internal and external presence, and how to enhance both to increase your self-assurance and self-possession. He addresses how to do all of this without being fake or feeling inauthentic, and how to be ""fully present, persistently.""",Course,N/A,N/A,true,N/A,
Google Analytics 4 (GA4) Essential Training (2021),"Google Analytics 4 provides the means to track, analyze, and report on the visitors to your site and app—who they are and what they do. This course walks you through the first major revision in years to the de facto standard in analytics in years that includes tons of new features and powerful machine learning. With over 15 years on the platform and thousands of enterprise client engagements, industry veteran Corey Koberg covers how to best use this leading analytics tool to better understand who your digital customers are, how they found you, and how they engage with your site or app once they get there. Corey covers the platform's out-of-the-box functionality, from account creation to reporting fundamentals. He shares how to get, convert, and retain customers, manage user accounts, and more.",Course,2021-04-17 03:10 UTC,N/A,false,N/A,
Raspberry Pi: GPIO,"The Raspberry Pi talks to the outside world through the general-purpose input/output device, known as the GPIO. In this course, instructor Mark Niemann-Ross describes these pins and explains how to use the GPIO to control lights and motors, read data from sensors, and interact with the Internet of Things. It combines some hardware basics—such as identifying pins—with some programming in a variety of different languages, including Python, Scratch C++, Java, and Wolfram. By learning how to control input and output through GPIO pins, you'll open up a whole new world of electronics.",Course,2021-08-05 15:41 UTC,N/A,false,N/A,
Executive Guide to Predictive Modeling Strategy at Scale,"Building world-class predictive analytics solutions requires recognizing that the challenges of scale and sample size fluctuate greatly at different stages of a project. How do you know how much data to use? What is too little, what is too much? How does your infrastructure need to scale with the volume and demands of the project? This course walks step by step through the strategic and tactical aspects of determining how much data is needed to build an effective predictive modeling solution based on machine learning and what volumes of data are so large that they will create challenges. Instructor Keith McCormick reviews each stage—data selection, data preparation, modeling, scoring, and deployment—with scalability in mind, providing IT professionals, data scientists, and leadership with new insights, perspectives, and collaboration tools.<br><br>

Note: This course is software agnostic. The emphasis is on strategy and planning. Examples, calculations, and software results shown are for training purposes only.",Course,2021-05-18 02:37 UTC,N/A,false,N/A,
"Selling with Stories, Part 2: Stories Great Sales People Tell","Stories connect people. Telling a compelling and authentic story can solidify the relationship with your potential customer and win the sale. In this course, you can learn how to leverage the power of storytelling throughout the sales process. Paul Smith—the author of the best-selling book <i>Sell with a Story: How to Capture Attention, Build Trust, and Close the Sale</i>—covers the 25 most essential types of sales stories and shares formulas for developing your own specific narratives. Learn the stories you should tell from introduction to pitch to close, to capture buyer interest and build loyalty that lasts for the long term.<br><br>

Check out part one of the series for an introduction to selling with stories.",Course,2021-09-06 05:45 UTC,N/A,false,N/A,
"Management Excellence at Microsoft: Model, Coach, Care","The role of the manager is arguably one of the most important roles in any organization. Providing managers with clear expectations of their role, and how it aligns with the goals of the organization is critical. In this course, learn how Microsoft, a company recognized for its leadership excellence, grows and cultivates managers with a simple and easily applied framework: Model, Coach, Care.
Join Joe Whittinghill, Corporate Vice President, Talent, Learning, and Insights, along with Satya Nadella, Kathleen Hogan, Jason Zander, Jean-Philippe Courtois, and Amy Hood as they share the approach to manager excellence and keys to empowering managers to deliver success. Through the passion and dedication of these members, explore and reflect on management behaviors and how this framework can be applied to your practice as a manager.",Course,2022-03-26 05:40 UTC,N/A,false,N/A,
Product Management: Building a Product Strategy,"<p>Behind every successful product there is a clear strategic vision that takes both market and customer needs into account. Essentially, strategy is the set of choices a company makes in order to achieve its objectives. These choices include which products to develop, which market segments to focus on, how to differentiate, how to price, how to position, and more. Product leaders are the guardians of a company's strategy. While many people and teams can contribute to developing a strategy, product leaders need to articulate it and ensure that it's done in a way that is applicable for day-to-day decision-making. This course lays out how to develop an effective product strategy. Instructors Eldad Persky and Teg Grenager walk through a step-by-step process for creating a smart, thoughtful strategy, and explain how to build support for it. Plus, they go over how to maintain and implement your strategy.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/aha-product-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from Aha!.</p>",Course,2022-05-12 07:11 UTC,N/A,false,N/A,
Brad Feld on Validating Your Startup Idea,"So you have an idea for a business. Maybe you have lots of ideas, with lots of potential. How do you focus on the opportunity that is going to be the most successful and the best use of your time? Brad Feld is a serial entrepreneur turned investor, who has helped build 100s of companies over the last 30 years, including Techstars, his startup accelerator. In this course, he walks through the preliminary steps that any entrepreneur needs to follow to determine whether an idea has merit: whether it is significant, meaningful, and disruptive. He provides a framework to evaluate an idea and its risks—as well the costs of not pursuing the idea at all. He then explains, in detail, how to evaluate your opportunity, your product, your market, and your team. These steps lay the groundwork critical to a successful startup, resulting in a refined and well-researched idea that you, your partners, your customers, and potentials investors can all get behind.",Course,2021-08-17 19:20 UTC,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2815110,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2815110,Course,2021-03-27 04:39 UTC,N/A,false,N/A,
Building a Superstar Brand,"Ever wondered what it takes to create your own brand and become a superstar along the way? Explore the value of storytelling, vision, and commitment in this course with World Wrestling Entertainment (WWE) chief brand officer Stephanie McMahon, as she shows you how to lead by example and leave a legacy in your wake. Learn key lessons from Stephanie’s hard-earned experiences and colorful tales of growing up in an entrepreneurial culture. The course shares valuable lessons on how to scale superstar partnerships, create a rich DEI culture, and build powerful fan relationships. Discover proven leadership strategies and tips that you can apply to your own venture or job. Throughout the course, Stephanie looks back on the sacrifices her parents made back when they were first promoting the WWE, growing it from nothing to superpower status, and inspiring millions around the world.<br><br>Note: This course was created by genconnectU. We are pleased to host this training in our library.",Course,2025-06-19 15:03 UTC,N/A,false,N/A,
Working with Difficult People,"<p>In every workplace, you're likely to encounter colleagues who are more difficult to work with than others. But before you rush to judgment, you should determine if and how you might be contributing to the situation, and what you can do to help.</p><p>In this course, join psychologist Dr. Emily Anhalt as she shows you how to navigate and communicate with people who you find challenging to deal with at work. Pause and reflect on your role in challenging work situations to uncover how empathy can help you work better with others. Emily shares strategies to respond to a wide variety of particularly challenging work situations, including with people whose behavior is negative, absent, competitive, and passive-aggressive. By the end of this course, you’ll be prepared with new skills and practical strategies to have an effective conversation with someone you find difficult to work with.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2024-08-08 14:53 UTC,N/A,false,N/A,
Jeff Weiner on Leading like a CEO,"During Jeff Weiner's tenure as the CEO at LinkedIn, the company grew its membership base from 33 million to more than 690 million members, increased its revenue from $78 million to more than $7.9 billion, and expanded its team from 338 to over 16,000 employees. Throughout this period of remarkable growth, Jeff developed the company's values and created an organization where compassion is as revered as a healthy bottom line. In this course, Jeff shares his advice on what it takes to be a great leader, using a three-part framework of awareness, synthesis, and inspiration.<br><br>Learn about the importance of maintaining awareness of yourself, your team, your industry, and the world at large. Explore the topic of synthesis, which you achieve through developing your vision and values and by focusing on the most important priorities. Plus, learn about the role of inspiration in leadership, both in terms of being true to your own values and motivating others.",Course,2021-10-19 01:05 UTC,N/A,true,N/A,
Introduction to Conversational AI,"<p>The use of AI in consumer and enterprise environments is exploding—and conversational AI is leading the way. Conversational AI is part of the intelligent automation spectrum of technologies used to digitize and transform operations, customer support, sales, and interactions with enterprise technologies. In this course, instructor Ian Barkin puts it all into context, situating conversational AI with its historical predecessor technologies and introducing the new technology stack: natural language processing, automatic speech recognition, and natural language understanding.</p><p>Explore the different types and benefits of conversational AI tools, with real-world examples drawn from enterprise experiences to highlight the ways in which this powerful technology has been deployed. From modern conversational AI channels and platforms to using AI chatbots in practice, by the end of this course, you’ll be equipped with highly sought-after skills to create better AI strategies for your teams.</p>",Course,2025-06-04 01:32 UTC,N/A,true,N/A,
How to Make Strategic Thinking a Habit (2020),"Working hard is important—but what's really critical is making sure you're working on the right things. That's what strategic thinking enables you to do. In this course, Dorie Clark shares frameworks and strategies to help you make strategic thinking a daily habit, so that you can make the best use of your time, energy, and effort at work. Discover how to set yourself up for success by carving out time for strategic thinking and adjusting your routine to spark more strategic thoughts. Get tactics for thinking strategically about the tasks and decisions that lie ahead of you, as well as how to revisit past decisions to glean valuable insights. Learn how to change the way you approach your to-do list and examine the root cause of problems to devise better solutions. Plus, Dorie explains how to consistently ask yourself the right questions, so that you don't get off track.",Course,2021-09-22 05:03 UTC,N/A,false,N/A,
Understanding and Supporting Asian Employees,"Underrepresented employees face unique challenges in the workplace, and understanding how to support them in these challenges is key to building a more inclusive workplace. Dr. Sarah-SoonLing Blackburn shows you how to get started. She begins with important terminology and breaks down the model minority myth. Dr. Blackburn explains why lived experiences matter in the workplace and goes over several issues that impact Asian employees at work. She points out that the Asian community is not a monolith and discusses ways to build a more meaningfully inclusive workplace culture. Dr. Blackburn covers several steps you can take to support Asian employees, such as making space for discussion and speaking up against bias. She concludes by describing how everyone has a role to play in creating inclusive workplace environments. 
<br><br>
Note: This course contains US-based examples and scenarios; however, learners around the world may still find the concepts applicable.",Course,2022-04-02 14:36 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2021-07-29 00:08 UTC,N/A,false,N/A,
Excel: Sales Forecasting,"Creating accurate and reliable sales forecasts is essential for any sales leader. Professor Michael McDonald shows how to use Excel to forecast sales more effectively, beginning with a quick primer on sales forecasting, then explaining the business intelligence used in forecasting and the basics of regression analysis. Next, Michael shows how to use Excel to gather the necessary data for your forecast, how to cleanse data so that it will lead to more accurate forecasts, and how to interpret and explain the results of a regression forecast. The course concludes with a sample project, forecasting sales for a fictional restaurant. In this sample project, you’ll construct a data set, compute a simple set of forecast metrics, and construct an in-depth sales forecast. Finally, Michael explains the limitations of sales forecasting and how you can mitigate risk.",Course,2021-08-28 01:16 UTC,N/A,false,N/A,
Excel Essential Training (Microsoft 365) (2018),"Get up to speed with Microsoft Excel, the world's most popular spreadsheet program. Follow along with Excel expert Dennis Taylor as he demonstrates how to efficiently manage and analyze data with this powerful program. Learn how to enter and organize data, perform calculations with simple functions, and format the appearance of rows, columns, cells, and data. Other lessons cover how to work with multiple worksheets, build charts and PivotTables, sort and filter data, use the printing capabilities of Excel, and more.",Course,2021-09-18 15:42 UTC,N/A,false,N/A,
Technology for Product Managers,"Product managers must know technology basics. They need to have the vocabulary to speak to engineers, UX designers, and executives-and translate messages between these very different stakeholders. A product manager should know how the internet works, how front end differs from back end, what the major programming languages are, and why web and mobile developers are so in demand. This course provides an overview of the basics, including terminology and trends that will affect your work and collaboration with your team.<br><br>

Instructor Cole Mercer reviews the fundamental building blocks of modern software applications-from the web that connects all the working parts, to the data, users, and the build tools that developers use every day. He discusses the differences between desktop, web, and mobile development, and reviews the role of version control systems in deployment and release.",Course,2018-10-24 22:57 UTC,N/A,false,N/A,
Machine Learning & AI Foundations: Linear Regression,"<p>Having a solid understanding of linear regression—a method of modeling the relationship between one dependent variable and one to several other variables—can help you solve a multitude of real-world problems. Applications areas involve predicting virtually any numeric value including housing values, customer spend, and stock prices. This course reveals the concepts behind the most important linear regression techniques and how to use them effectively. Throughout the course, instructor Keith McCormick uses IBM SPSS Statistics as he walks through each concept, so some exposure to that software is assumed. But the emphasis will be on understanding the concepts and not the mechanics of the software. SPSS users will have the added benefit of being exposed to virtually every regression feature in SPSS.</p><p>Keith covers simple linear regression, explaining how to build effective scatter plots and calculate and interpret regression coefficients. He also dives into the challenges and assumptions of multiple regression and steps through three distinct regression strategies. To wrap up, he discusses some alternatives to regression, including regression trees and time series forecasting.</p>",Course,2024-08-07 21:16 UTC,N/A,false,N/A,
Python Essential Training (2018),"Due to its power and simplicity, Python has become the scripting language of choice for many large organizations, including Google, Yahoo, and IBM. A thorough understanding of Python 3, the latest version, will help you write more efficient and effective scripts. In this course, Bill Weinman demonstrates how to use Python 3 to create well-designed scripts and maintain existing projects. This course covers the basics of the language syntax and usage, as well as advanced features such as objects, generators, and exceptions. Learn how types and values are related to objects; how to use control statements, loops, and functions; and how to work with generators and decorators. Bill also introduces the Python module system and shows examples of Python scripting at work in a real-world application.",Course,2021-04-03 06:15 UTC,N/A,false,N/A,
Resume Makeover (2018),"If you're looking for your dream job, you have to be prepared to act quickly. That means having an incredible, on-point, ""you had us at hello"" resume. Is yours in working order? This course helps anyone make over a lackluster resume into something truly special. Career strategist and nationally recognized resume writer Jenny Foss takes you through the very same process she uses at JobJenny.com to develop resumes for her own clients. She teaches you how to condense years of experience into a compelling marketing document, address resume gaps and job hops, and choose the right format for the final document. She also explains how the hiring process works (from the perspective of both the resume scanning software and the human reviewer), so that when you do apply for that incredible new job, you have a real shot at landing an interview.",Course,2024-05-22 01:05 UTC,N/A,false,N/A,
How to Own a Room,"In the long run, commanding a room means making lasting connections and furthering yourself and your business. In this course, business expert Bianca Lager walks you through exactly how to capture everyone’s attention in the room and own your self-confidence. This course is for everyone from employees to CEOs that struggle to make a lasting impression. Learn how to refine certain skill sets to prepare to own a room, establish a strong presence through your appearance and body language, and practice positivity to overcome any fears. By the end of this course, you’ll have the tools needed to make lasting connections in nearly any room you walk into.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2021-07-30 17:25 UTC,N/A,true,N/A,
